rank,title,subTitle,price,categoryName,address,neighborhood,street,city,postalCode,state,countryCode,phone,phoneUnformatted,claimThisBusiness,location,totalScore,permanentlyClosed,temporarilyClosed,placeId,categories,fid,cid,reviewsCount,imagesCount,imageCategories,scrapedAt,googleFoodUrl,hotelAds,openingHours,peopleAlsoSearch,placesTags,reviewsTags,additionalInfo,gasPrices,url,searchPageUrl,searchString,language,isAdvertisement,imageUrl,kgmid
1,TFC The Food Court,TFC द फूड कोर्ट,,Restaurant,"TFC Near kachhapull, Kalchhina Rd, Kalchhina, Uttar Pradesh 245304, India",,"TFC Near kachhapull, Kalchhina Rd",Kalchhina,245304,Uttar Pradesh,IN,+91 80779 95469,+918077995469,False,"{'lat': 28.7711789, 'lng': 77.5788028}",4.8,False,False,ChIJtzPLEF2LDDkRGFUs3sfEsnk,['Restaurant'],0x390c8b5d10cb33b7:0x79b2c4c7de2c5518,8769287787148760344,8,8,[],2025-04-20T09:11:33.413Z,,[],[],[],[],[],"{'Service options': [{'No-contact delivery': True}, {'Delivery': True}, {'Takeout': True}, {'Dine-in': True}], 'Highlights': [{'Great dessert': True}, {'Great tea selection': True}], 'Accessibility': [{'Wheelchair accessible entrance': True}, {'Wheelchair accessible parking lot': True}, {'Wheelchair accessible restroom': True}, {'Wheelchair accessible seating': True}], 'Offerings': [{'Coffee': True}, {'Late-night food': True}, {'Quick bite': True}, {'Small plates': True}], 'Dining options': [{'Breakfast': True}, {'Brunch': True}, {'Lunch': True}, {'Dinner': True}, {'Dessert': True}], 'Amenities': [{'Restroom': True}], 'Atmosphere': [{'Casual': True}], 'Crowd': [{'Groups': True}], 'Payments': [{'NFC mobile payments': True}], 'Children': [{'Good for kids': True}, {""Kids' menu"": True}]}",[],https://www.google.com/maps/search/?api=1&query=TFC%20The%20Food%20Court&query_place_id=ChIJtzPLEF2LDDkRGFUs3sfEsnk,"https://www.google.com/maps/search/restaurant/@28.77502514999999,77.59146614690644,15z?hl=en",restaurant,en,False,https://lh3.googleusercontent.com/p/AF1QipOd2IpjnDVaRWNlP4WDrcygv1LxiKy6wkdUTzAx=w408-h544-k-no,/g/11s573yn54
1,Bharat Restaurant,भरत रेस्टोरेंट,,Indian restaurant,"Q8VW+8WX, Unnamed Road, Siroli, Badshahpur Sirauli, Uttar Pradesh 201102, India",,"Q8VW+8WX, Unnamed Road","Siroli, Badshahpur Sirauli",201102,Uttar Pradesh,IN,+91 98101 02540,+919810102540,True,"{'lat': 28.7934097, 'lng': 77.3474136}",4.9,False,False,ChIJv1PDxLP5DDkREJeZy7wr99g,['Indian restaurant'],0x390cf9b3c4c353bf:0xd8f72bbccb999710,15634012721309652752,8,8,[],2025-04-20T09:11:47.173Z,,[],"[{'day': 'Monday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Tuesday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Wednesday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Thursday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Friday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Saturday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Sunday', 'hours': '9\u202fAM to 11\u202fPM'}]",[],[],[],"{'Service options': [{'Takeout': True}, {'Dine-in': True}], 'Popular for': [{'Solo dining': True}], 'Offerings': [{'Quick bite': True}, {'Small plates': True}], 'Atmosphere': [{'Casual': True}], 'Crowd': [{'Groups': True}], 'Children': [{'Good for kids': True}]}",[],https://www.google.com/maps/search/?api=1&query=Bharat%20Restaurant&query_place_id=ChIJv1PDxLP5DDkREJeZy7wr99g,"https://www.google.com/maps/search/restaurant/@28.77502514999999,77.35157466482019,15z?hl=en",restaurant,en,False,https://lh3.googleusercontent.com/p/AF1QipNbNK6d5TypJkM6G5JrLMhByhCR9iipmSq_8Hs=w426-h240-k-no,/g/11t316cvbf
1,Hunger Hub,हुन्गेर हब,,Restaurant,"R77F+4G5, Saharanpur - Delhi Rd, Mandaula, Uttar Pradesh 201102, India",,"R77F+4G5, Saharanpur - Delhi Rd",Mandaula,201102,Uttar Pradesh,IN,,,True,"{'lat': 28.8127556, 'lng': 77.2738442}",5,False,False,ChIJ50QRD0VVDDkR0vOTux_slK4,['Restaurant'],0x390c55450f1144e7:0xae94ec1fbb93f3d2,12579939280187814866,25,9,[],2025-04-20T09:12:33.097Z,,[],[],[],[],[],"{'Service options': [{'Delivery': True}, {'Takeaway': True}, {'Dine-in': True}], 'Accessibility': [{'Wheelchair-accessible car park': True}, {'Wheelchair-accessible entrance': True}, {'Wheelchair-accessible toilet': True}], 'Offerings': [{'Quick bite': True}, {'Small plates': True}], 'Dining options': [{'Lunch': True}, {'Dinner': True}, {'Dessert': True}], 'Amenities': [{'Toilet': True}], 'Atmosphere': [{'Casual': True}], 'Crowd': [{'Groups': True}], 'Planning': [{'Accepts reservations': True}], 'Payments': [{'NFC mobile payments': True}], 'Children': [{'Good for kids': True}]}",[],https://www.google.com/maps/search/?api=1&query=Hunger%20Hub&query_place_id=ChIJ50QRD0VVDDkR0vOTux_slK4,"https://www.google.com/maps/search/restaurant/@28.805107410905162,77.28303424136698,15z?hl=en",restaurant,en,False,https://lh3.googleusercontent.com/p/AF1QipMLePl-RVp0sH6oQE-WZHWLnZ1mxY15WsQjYm1d=w408-h725-k-no,/g/11v05w1gx9
