rank,title,subTitle,price,categoryName,address,neighborhood,street,city,postalCode,state,countryCode,claimThisBusiness,location,totalScore,permanentlyClosed,temporarilyClosed,placeId,categories,fid,cid,reviewsCount,imagesCount,imageCategories,scrapedAt,googleFoodUrl,hotelAds,openingHours,peopleAlsoSearch,placesTags,reviewsTags,additionalInfo,gasPrices,url,searchPageUrl,searchString,language,isAdvertisement,imageUrl,kgmid
3,Raj Palace Restaurant,राज प्लेस,,Family restaurant,"NH-58, Delhi - Meerut Rd, Mohiuddinpur, Uttar Pradesh 250205, India",,"NH-58, Delhi - Meerut Rd",Mohiuddinpur,250205,Uttar Pradesh,IN,False,"{'lat': 28.8726514, 'lng': 77.6041551}",4.7,False,False,ChIJVQLe2glhDDkRF_nN81na6qI,['Family restaurant'],0x390c6109dade0255:0xa2eada59f3cdf917,11739435458571925783,40,68,[],2025-04-20T09:15:06.537Z,,[],"[{'day': 'Monday', 'hours': '9\u202fAM to 10\u202fPM'}, {'day': 'Tuesday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Wednesday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Thursday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Friday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Saturday', 'hours': '9\u202fAM to 11\u202fPM'}, {'day': 'Sunday', 'hours': '9\u202fAM to 11\u202fPM'}]",[],[],[],"{'Service options': [{'Outdoor seating': True}, {'No-contact delivery': True}, {'Delivery': True}, {'Drive-through': True}, {'Takeout': True}, {'Dine-in': True}], 'Highlights': [{'Great dessert': True}], 'Popular for': [{'Solo dining': True}], 'Accessibility': [{'Wheelchair accessible entrance': True}, {'Wheelchair accessible parking lot': True}, {'Wheelchair accessible restroom': True}], 'Offerings': [{'Alcohol': True}, {'Coffee': True}, {'Happy hour food': True}, {'Late-night food': True}, {'Quick bite': True}, {'Small plates': True}, {'Vegetarian options': True}], 'Dining options': [{'Breakfast': True}, {'Lunch': True}, {'Dinner': True}, {'Catering': True}, {'Dessert': True}, {'Seating': True}], 'Amenities': [{'Bar onsite': True}, {'Restroom': True}], 'Atmosphere': [{'Casual': True}, {'Quiet': True}], 'Crowd': [{'Family-friendly': True}, {'Groups': True}], 'Payments': [{'Debit cards': True}, {'Google Pay': True}, {'NFC mobile payments': True}], 'Children': [{'Good for kids': True}, {'High chairs': True}, {""Kids' menu"": True}], 'Parking': [{'Free street parking': True}]}",[],https://www.google.com/maps/search/?api=1&query=Raj%20Palace%20Restaurant&query_place_id=ChIJVQLe2glhDDkRF_nN81na6qI,"https://www.google.com/maps/search/restaurant/@28.925436454525848,77.45438530000001,15z?hl=en",restaurant,en,False,https://lh3.googleusercontent.com/p/AF1QipMYbiypJhTS34VZcH1m9ptX823qQpVWtDqQalaR=w493-h240-k-no,/g/11lgzfykjy
1,Himanshu Fast Food,हिमांशु फास्ट फूड,,Restaurant,"RJP9+W9Q, Shahjahanpur, Uttar Pradesh 201204, India",,RJP9+W9Q,Shahjahanpur,201204,Uttar Pradesh,IN,True,"{'lat': 28.8373802, 'lng': 77.6184692}",5,False,False,ChIJfzTsIQCLDDkRuxjTmwIpNh8,['Restaurant'],0x390c8b0021ec347f:0x1f3629029bd318bb,2249030155099117755,4,5,[],2025-04-20T09:16:10.887Z,,[],[],[],[],[],"{'Service options': [{'Takeaway': True}, {'Dine-in': True}], 'Popular for': [{'Solo dining': True}], 'Offerings': [{'Quick bite': True}, {'Small plates': True}], 'Dining options': [{'Lunch': True}, {'Dinner': True}], 'Atmosphere': [{'Casual': True}], 'Crowd': [{'Groups': True}], 'Payments': [{'NFC mobile payments': True}], 'Children': [{'Good for kids': True}]}",[],https://www.google.com/maps/search/?api=1&query=Himanshu%20Fast%20Food&query_place_id=ChIJfzTsIQCLDDkRuxjTmwIpNh8,"https://www.google.com/maps/search/restaurant/@28.835189671810333,77.66000657035966,15z?hl=en",restaurant,en,False,https://lh3.googleusercontent.com/p/AF1QipPZ5neUcHc_0bLRpCvqTNcq4BqxY2KT_N6E2wx8=w408-h725-k-no,/g/11y3sgxy2_
